Raman Shift,"2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_4","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2045_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2045_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2041_D_siarczyn_sodu_5,5mM_9s_1acc_30%","2041_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2041_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2041_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2"
494.28,24264.0,19202.0,19938.0,21691.0,17971.0,19999.0,19653.0,22272.0,21057.0,22571.0,11389.0,14643.0,19975.0,16390.0,20459.0
496.53,23882.0,19303.0,19560.0,21744.0,17940.0,19828.0,19730.0,22601.0,21284.0,22362.0,11137.0,14449.0,19391.0,16042.0,20226.0
498.78,23848.0,19179.0,19719.0,21431.0,17981.0,19997.0,19758.0,22588.0,21257.0,22669.0,11350.0,14152.0,19511.0,16249.0,20696.0
501.02,23832.0,19126.0,19356.0,21235.0,17633.0,20072.0,19190.0,21916.0,20932.0,22118.0,11000.0,13631.0,19011.0,16213.0,20093.0
503.27,23433.0,18699.0,19125.0,21269.0,17303.0,19680.0,19321.0,21714.0,21107.0,22093.0,11147.0,14064.0,18866.0,16238.0,20391.0
505.51,23001.0,18297.0,19011.0,21054.0,17545.0,19118.0,18808.0,21447.0,20660.0,21855.0,11494.0,13873.0,18961.0,16128.0,19599.0
507.76,22964.0,18377.0,19352.0,21117.0,17431.0,19566.0,19042.0,21588.0,20961.0,22009.0,10875.0,13653.0,18884.0,15742.0,19432.0
510.0,23214.0,18535.0,19539.0,21457.0,17719.0,19300.0,19045.0,21786.0,20735.0,21755.0,10829.0,13844.0,18505.0,16126.0,19586.0
512.24,22976.0,18017.0,18962.0,20587.0,16955.0,18939.0,18514.0,21171.0,20534.0,21289.0,10963.0,13614.0,18437.0,15514.0,19259.0
514.48,23007.0,18485.0,19081.0,20726.0,17254.0,19379.0,18442.0,21395.0,20880.0,21410.0,10626.0,13322.0,18494.0,15779.0,19660.0
